Date,AUD,CAD,FRF,DEM,ITL,NZD,SEK,GBP,JPY,USD,NOK
1971-10-22,,,,,,,,,,4.46,
1971-10-26,,,,,,,,,,4.38,
1971-10-27,,3.63,,,,,,,,4.37,
1971-10-28,,,,,,,,,,4.36,
1971-10-29,,,,,,,,,,4.31,
1971-10-30,,,,,,,,,5.17,,
1971-10-31,5.37,,6.18,3.75,6.04,,4.75,4.63,,,3.75
1971-11-01,,,,,,,,,,4.26,
1971-11-03,,3.5,,,,,,,,4.16,
1971-11-04,,,,,,,,,,4.14,
1971-11-05,,,,,,,,,,4.15,
1971-11-08,,,,,,,,,,4.18,
1971-11-09,,,,,,,,,,4.17,
1971-11-10,,3.31,,,,,,,,4.19,
1971-11-11,,,,,,,,,,4.18,
1971-11-12,,,,,,,,,,4.17,
1971-11-15,,,,,,,,,,4.16,
1971-11-16,,,,,,,,,,4.1,
1971-11-17,,3.35,,,,,,,,4.14,
1971-11-18,,,,,,,,,,4.14,
1971-11-19,,,,,,,,,,4.17,
1971-11-22,,,,,,,,,,4.24,
1971-11-23,,,,,,,,,,4.32,
1971-11-24,,3.3,,,,,,,,4.4,
1971-11-26,,,,,,,,,,4.4,
1971-11-29,,,,,,,,,5.17,4.34,
1971-11-30,5.08,,5.87,3.75,6.04,,3.75,4.49,,4.34,3.75
1971-12-01,,3.3,,,,,,,,4.31,
1971-12-02,,,,,,,,,,4.28,
1971-12-03,,,,,,,,,,4.15,
1971-12-06,,,,,,,,,,4.1,
1971-12-07,,,,,,,,,,4.13,
1971-12-08,,3.25,,,,,,,,4.1,
1971-12-09,,,,,,,,,,4.11,
1971-12-10,,,,,,,,,,4.09,
1971-12-13,,,,,,,,,,3.96,
1971-12-14,,,,,,,,,,4.06,
1971-12-15,,3.28,,,,,,,,4.12,
1971-12-16,,,,,,,,,,4.06,
1971-12-17,,,,,,,,,,4,
1971-12-20,,,,,,,,,,4.12,
1971-12-21,,,,,,,,,,4.08,
1971-12-22,,3.17,,,,,,,,4.04,
1971-12-23,,,,,,,,,,3.83,
1971-12-27,,,,,,,,,,3.78,
1971-12-28,,,,,,,,,,3.75,
1971-12-29,,3.21,,,,,,,,3.76,
1971-12-30,,,,,,,,,5.17,3.7,
1971-12-31,5.08,,5.68,3.25,6.4,,4,4.44,,3.68,3.75
1972-01-03,,,,,,,,,,3.69,
1972-01-04,,,,,,,,,,3.72,
1972-01-05,,3.23,,,,,,,,3.69,
1972-01-06,,,,,,,,,,3.55,
1972-01-07,,,,,,,,,,3.33,
1972-01-10,,,,,,,,,,3.02,
1972-01-11,,,,,,,,,,3.22,
1972-01-12,,3.25,,,,,,,,3.23,
1972-01-13,,,,,,,,,,3.2,
1972-01-14,,,,,,,,,,3.19,
1972-01-17,,,,,,,,,,3.24,
1972-01-18,,,,,,,,,,3.26,
1972-01-19,,3.24,,,,,,,,3.3,
1972-01-20,,,,,,,,,,3.35,
1972-01-21,,,,,,,,,,3.43,
1972-01-24,,,,,,,,,,3.52,
1972-01-25,,,,,,,,,,3.52,
1972-01-26,,3.3,,,,,,,,3.46,
1972-01-27,,,,,,,,,,3.44,
1972-01-28,,,,,,,,,,3.36,
1972-01-31,4.83,,5.39,3.25,6.04,,3.75,4.36,4.66,3.35,3.75
